CC,Color,Color Family,Color Assignment
100,Revolver Black,Revolver Black,Black
101,Revolver Black Matte,Revolver Black,Black
102,Revolver Black Crystal,Revolver Black,Black
133,Charcoal Fade,Charcoal Fade,Grey
140,Blue Marblewood,Blue Marblewood,Tortoise-Blue
143,Lunar Fade,Lunar Fade,"Black, Grey"
150,Greystone,Greystone,Grey
200,Whiskey Tortoise,Whiskey Tortoise,Tortoise-Dark
201,Whiskey Tortoise Matte,Whiskey Tortoise,Tortoise-Dark
203,Tennessee Whiskey,Tennessee Whiskey,"Tortoise, Clear"
210,Sandalwood Matte,Sandalwood Matte,Tortoise-Light
211,Hazelwood,Hazelwood,Tortoise-Light
220,Amber,Amber,Brown
230,Striped Chestnut,Striped Chestnut,Tortoise-Dark
231,Striped Evergreen,Striped Evergreen,Tortoise-Dark
232,Striped Maple,Striped Maple,Tortoise-Dark
235,Gimlet Tortoise,Gimlet Tortoise,Tortoise-Dark
240,Olivewood,Olivewood,Tortoise-Light
242,Walnut Tortoise,Walnut Tortoise,Tortoise-Light
248,Striped Ale,Striped Ale,Tortoise-Light
252,Violet Magnolia,Violet Magnolia,Tortoise-Purple
256,Striped Sassafras,Striped Sassafrass,Tortoise-Dark
260,Oakwood Brown,Oakwood Brown,Tortoise-Dark
262,Redwood Ash,Redwood Ash,Tortoise-Dark
273,Old Fashioned Fade,Old Fashioned Fade,Brown
280,Sugar Maple,Sugar Maple,Tortoise-Dark
305,Blonde Tortoise,Blonde Tortoise,Tortoise-Light
310,Cedar Tortoise,Cedar Tortoise,Tortoise-Light
313,Burgundy Fade,Burgundy Fade,Red
340,Marine Slate,Marine Slate,Blue
350,Midnight Blue,Midnight Blue,Blue
353,Blue Slate Fade,Blue Slate ,Blue
500,Crystal,Crystal,Clear
502,Crystal Matte,Crystal ,Clear
503,Checkered Revolver,Checkered Revolver,Black
511,Earl Grey with Black Temple,Earl Grey,Grey
530,Tidal Blue,Tidal Blue,Blue
540,Bellini,Bellini,Pink
541,Bellini with Earl Grey Temple,Bellini,Pink
550,Aqua Tonic,Aqua Tonic,Blue
551,Aqua Tonic with Black Temple,Aqua Tonic,Blue
601,King's Purple,King's Purple,Purple
602,Summer Green,Summer Green,Green
603,Bondi Blue,Bondi Blue,Blue
604,Tangerine,Tangerine,Orange
610,Rum Cherry,Rum Cherry,Red
630,Mallard Green,Mallard Green,Green
900,Crystal Pink,Crystal Pink,"Clear, Pink"
901,Geo Lanyard,Geo Lanyard,Print
902,Stained Glass,Stained Glass,Print
903,Roses,Roses,Print
920,Redwood Ash with Black Temple,Redwood Ash,Tortoise-Dark
921,Violet Magnolia with Black Temple,Violet Magnolia,Tortoise-Purple
922,Walnut Tortoise with Black Temple,Walnut Tortoise,Tortoise-Light
930,Graphite ,Graphite,Grey
931,Buckwheat Honey ,Honey,Yellow
1100,Invsible,Invisible,Invisible
1150,Greystone,Greystone,Grey
1350,Midnight Blue,Midnight Blue,Blue
2101,Brushed Ink,Brushed Ink,Black
2103,Brushed Cast Iron,Brushed Cast Iron,Black
2151,Brushed Granite ,Brushed Granite,Grey
2201,Brushed Topaz,Brushed Topaz,Brown
2260,Copper Alloy,Copper Alloy,Brown
2300,Obsidian,Obsidian,"Silver, Grey"
2301,Brushed Platinum ,Brushed Platinum,"Silver, Grey"
2303,Brushed Sterling,Brushed Sterling,"Silver, Grey"
2305,Brushed Silver,Brushed Silver,"Silver, Grey"
2401,Brushed Gold,Brushed Gold,Gold
2501,Brushed Opal,Brushed Opal,Blue
270,English Oak,English Oak,Tortoise-Light
2203,Brushed Bark,Brushed Bark,Brown
761,Elderberry,Elderberry,Puple
710,Green Spruce,Green Spruce,Green
740,Catalina Blue,Catalina Blue,Blue
190,Marbled Charcoal,Marbled Charcoal,Gray
290,Marbled Sandstone,Marbled Sandstone,Tan
731,Pinot Noir,Pinot Noir,Purple
731,Pinot Noir,Pinot Noir,Purple
141,Blue Marblewood,Blue Marblewood,Tortoise-Blue
751,Bombay Blue,Bombay Blue,Blue
