Style,Color,Collection,Optical,SKU,Male,Female,Active
Fillmore,Redwood Ash with Black Temple,Auteur,Optical,Fillmore-920,1,1,1
Tenley,Violet Magnolia with Black Temple,Auteur,Optical,Tenley-921,0,0,0
Winston,Walnut Tortoise with Black Temple,Auteur,Optical,Winston-922,0,0,0
Japhy,Crystal Pink,Breast Cancer Awareness,Optical,Japhy-900,0,0,0
Bensen,Olivewood,Fall 2012 Collection,Optical,Bensen-240,1,1,1
Chandler,Olivewood,Fall 2012 Collection,Optical,Chandler-240,1,1,1
Chandler,Whiskey Tortoise,Fall 2012 Collection,Optical,Chandler-200,1,1,1
Clyde,Blue Marblewood,Fall 2012 Collection,Optical,Clyde-140,1,1,1
Clyde,Striped Chestnut,Fall 2012 Collection,Optical,Clyde-230,1,1,1
Linwood,Violet Magnolia,Fall 2012 Collection,Optical,Linwood-252,1,1,1
Marshall,Rum Cherry,Fall 2012 Collection,Optical,Marshall-610,0,1,1
Marshall,Striped Sassafras,Fall 2012 Collection,Optical,Marshall-256,0,1,1
Sloan,Rum Cherry,Fall 2012 Collection,Optical,Sloan-610,0,1,1
Sloan,Striped Chestnut,Fall 2012 Collection,Optical,Sloan-230,0,1,1
Aubrey,Amber,First Collection,Optical,Aubrey-220,0,0,0
Aubrey,King's Purple,First Collection,Optical,Aubrey-601,0,0,0
Aubrey,Revolver Black Crystal,First Collection,Optical,Aubrey-102,0,0,0
Belen,King's Purple,First Collection,Optical,Belen-601,0,0,0
Belen,Revolver Black,First Collection,Optical,Belen-100,0,0,0
Belen,Whiskey Tortoise,First Collection,Optical,Belen-200,0,0,0
Cailin,King's Purple,First Collection,Optical,Cailin-601,0,0,0
Cailin,Revolver Black Crystal,First Collection,Optical,Cailin-102,0,0,0
Cailin,Whiskey Tortoise Matte,First Collection,Optical,Cailin-201,0,0,0
Colonel,Whiskey Tortoise,First Collection,Optical,Colonel-200,0,0,1
Colton,Hazelwood,First Collection,Optical,Colton-211,1,1,1
Colton,Revolver Black Crystal,First Collection,Optical,Colton-102,1,1,1
Colton,Sandalwood Matte,First Collection,Optical,Colton-210,1,1,1
Colton,Tangerine,First Collection,Optical,Colton-604,1,1,1
Colton,Whiskey Tortoise,First Collection,Optical,Colton-200,1,1,1
Crandall,Revolver Black Crystal,First Collection,Optical,Crandall-102,0,0,0
Crandall,Summer Green,First Collection,Optical,Crandall-602,0,0,0
Crandall,Whiskey Tortoise,First Collection,Optical,Crandall-200,0,0,0
Digby,Striped Chestnut,First Collection,Optical,Digby-230,1,0,1
Digby,Tennessee Whiskey,First Collection,Optical,Digby-203,1,0,1
Digby,Whiskey Tortoise Matte,First Collection,Optical,Digby-201,1,0,1
Elbridge,Sandalwood Matte,First Collection,Optical,Elbridge-210,0,0,0
Elbridge,Striped Chestnut,First Collection,Optical,Elbridge-230,0,0,0
Elbridge,Tennessee Whiskey,First Collection,Optical,Elbridge-203,0,0,0
Elbridge,Revolver Black Matte,First Collection,Optical,Elbridge-101,0,0,0
Elbridge,Hazelwood,First Collection,Optical,Elbridge-211,0,0,0
Emersen,King's Purple,First Collection,Optical,Emersen-601,0,0,0
